                                                                       Clark County Combined Health District
                                                                                        2026
                                                                             Registered Septage Haulers
Registration
numbers        Company                                               Address                                              Phone Number             Owner/Applicant
591            A to Z Septic                                         23 Powell Ave. Fairborn, OH 45324                    937-829-1858             Glen Henderson
60             AAA Wastewater Services Inc (Triple A Pro Services)   3677 Anthony Lane Frankilin, OH 45005                937-746-6361             Timothy DeHart
589            Alexander Sewer & Drain LLC                           2 S. Main St. P.O. Box 64 Casstown, OH 45312         937-335-7509             Kelly Goubeaux
6              Bevan Sanitation LLC                                  4250 Hominy Ridge Rd. Springfield, OH 45502          937-969-8589             JoAnn Bevan

792            Bobcat Multi-Works (Bobcat Sanitation)                2765 County Rd. 21 DeGraff, OH 43318                 937-585-9904             Steve Moody
10             Buckeye Sanitary Services LLC                         1236 Villa Rd. Springfield, OH 45503                 937-399-3242             Eddis Wiseman
307            C.T. Brown Sanitation                                 1752 Jones Rd. Xenia, OH 45385                       937-620-8939             Tom Brown
799            Darby Creek Septic LLC                                5885 Lafayette-Plain City Rd. London, OH 43140       740-206-4856             Brandon Yoder
782            Dooley's Sanitation Service LLC                       919 Troy Hill Rd Urbana, OH 43078                    937-653-3007             Ricky Dooley
550            John's Reliable Septic LLC                            8710 South Charleston Pk. So. Charleston, OH 45368   937-926-1482             John Manus
183            McKeever's                                            1248 East US Hwy 36, Urabana, OH 43078               937-652-1898             Jerry Schlagel
592            Miami Valley Septic Service                           6255 New Carlisle Pike Springfield, OH 45504         937-315-0415             Joe Baumgardner
44             Mr. Clean Port-a-Potties                              P.O. Box 41 Springfield, OH 45501                    937-284-3382             Raghvendra Bali

50             Pro Kleen Industrial Services Inc.                    1030 Mill Park Drive Lancaster, OH 43140             740-689-1886             Amanda Neighborgall
14             Roto Rooter Services Co.                              9490 Byers Rd. Miamisburg, OH 45342                  937-353-7093             Kristen Sizemore
781            Royalty Restroom Rentals LLC                          1147 Hillcrest Dr. Troy, OH 45373                    937-216-2562             Levi Fox
24             Rumpke Transportation Company LLC.                    3990 Generation Dr. Cincinnati, OH 45251             513-851-0122 ext. 3586   Sahil Panse
787            That Septic Guy LLC                                   5657 Moorefield Rd. Springfield, OH 45502            937-342-0629             Jay Reed
506            Yoder's Septic Service LLC                            5890 Lafayette-Plain City Rd. London, OH 43140       740-857-1822             Carl Yoder
765            Toilets and Co.                                       4675 Upper Valley Pike Springfield, OH 45502         937-504-9331             Chad Phillips




               Updated 2/12/2026

