   2026 STS Pumpers                                                               Alphabetical by City


             Company Name                             Operator               phone                  Address                          City
Reliable Onsite Services                 United Rentals (North America)   330-733-9000 1050 Killian Rd.                  Akron, OH 44312
Sosnick Septic Service                   Michael Sosnick                  330-584-6718 19542 W. Middletown Rd.           Beloit, OH 44609
Charlie Hoffman Septic Svcs.             Mark Biskup                      330-584-5466 16124 W. Western Reserve Rd.      Berlin Center, OH 44401
Morris Drain Service, Inc.               Ronald Morris                    330-788-2560 4200 Simon Rd.                    Boardman, OH 44512
Klarich Farms, LLC                       Frank Klarich                    440-285-2550 PO Box 53                         Burton, OH 44021
Rosebud Sanitation                       Jay Householder Jr.              330-385-6622 49377 Hickman Rd.                 Calcutta, OH 43920
Chester H3, LLC, dba Erwin Septic Svc.   Joseph Heretta III               330-627-4700 333 Steubenville Rd., SE          Carrollton, OH 44615
Cowboy Miller Septic Pumping             Sheri Brown                      330-821-8060 2012 Notman Rd.                   Deerfield, OH 44411
Gold-N-Deuce, LLC                        Brian Myers / David Brown        330-851-8541 6085 Waynesburg Rd. NW            Dellroy, OH 44620
Dalton's Service Co., LLC                Loran & Deborah Dalton           724-752-4545 1230 Mercer Rd.                   Ellwood City, PA 16117
Tom's Septic and Drain                   Jeff Chahine Jr.                 330-545-8584 1057 Trumbull Ave.                Girard, OH 44420
Whipkey Septic Pumping LLC               Clayton Whipkey                  330-736-1821 4300 Middle St.                   Homeworth, OH 44634
Novak Septic Pumping                     Timothy & Anita Novak            330-420-9929 38350 Adams Rd.                   Lisbon, OH 44432
Family Flush Septic Service              Timothy J. Novak & Anita Novak   330-420-5315 38350 Adams Rd.                   Lisbon, OH 44432
Bosley Drain & Septic                    Josh Tully                       330-454-4000 PO Box 303                        Louisville, OH 44641
Milner's Septic                          Willam Milner                    330-868-9700 100 Arbor Rd., NW, PO Box 2       Minerva, OH 44657
CJ's Port a Potty                        Jason Pierce                     234-562-0062 9379 First East St.               N. Benton, OH 44449
Salem Septic                             John Mercer                      330-525-7800 30761 Georgetown Rd.              Salem, OH 44460
Steve's Service                          Stephen Utt                      330-938-9325 298 East Florida Ave.             Sebring, OH 44672
A Rooter Man                             James English                    877-232-1520 195 Potomac Ave., Unit B          Tallmadge, OH 44278
Duke's Sanitary Service, Inc.            Mark Furrie Sr.                  330-856-3129 1009 Yo-town Kingsville Rd., NE   Vienna, OH 44473
Patterson Specialty Services             Bill Patterson                   330-862-3371 300 W. Lisbon St.                 Waynesburg, OH 44688

