                                                                                        2026 Registered Contractors
                       Coshocton Public Health District
                       637 Chestnut St., Coshocton, OH 43812

                                                                                             Coshocton County
                       (P) 740-622-1426 | (F) 740-295-7576
                       (E) coshcohealth@coshoctoncounty.net


        BUSINESS NAME                     OPERATOR NAME                              ADDRESS                                         PHONE | EMAIL                         INSTALLER | HAULER | SERVICE PROVIDER
  Active Wastewater Systems, LLC           Johnna A. Graves               PO Box 1101, Sunbury, OH 43074                    (614) 554-5481 | awsjohn@yahoo.com                            Service Provider
        Affordable Portables                 Drew Krosesel                1000 Keller Dr., Heath, OH 43056               (740) 366-1811 | contact@rentportables.com                            Hauler
            A&J Services                      John Moore               115 Putnam Ave., Zanesville, OH 43701             (740) 819-4405 | john@zanesvilleseptic.com                           Installer
         Allen Construction                     Vic Allen               P.O. Box 1094, Coshocton, OH 43812             (740) 623-9945 | vicallenconstandexc@gmail.com                Installer & Service Provider
       Beagle Hill Services, LLC          Joe & Brenda Celuch         9745 Raiders Rd., Frazeysburg, OH 43822                (740) 828-9852 | joe@beaglehill.com                              Installer
      B&C Septic Pumping, LLC               Corey A. Jones          1640 Friendship Dr., New Concord, OH 43762       (740) 607-8807 | corey.bcsepticpumping@gmail.com                          Hauler
        B&M Excavating, INC                  Myron Troyer                  54089 SR 651, Baltic, OH 43804                    (330) 204-3786 | bmdigs@gmail.com                                Installer
        Bobcat Multi-Works                   Steve Moody                   2765 CR 21, Degraff, OH 43318               (937) 585-9904 | audrey@bobcatmultiworks.com                            Hauler
    C. Armstrong Excavating, LLC            Clay Armstrong              10776 CR 391, Millserburg, OH 44654          (330) 317-8833 | carmstrongexcavatingllc@gmail.com                       Installer
          Carter Excavating                    Bo Carter                 44840 SR 541, Coshocton, OH 43812                             (740) 502-6434                                         Installer
   Chandler Septic & Services, LLC           Zack Chandler             2300 Aspen Rd., Frazeysburg, OH 43822             (740) 577-9605 | zackchandler86@gmail.com                       Installer & Hauler
             CLP Services                 B. Xavier Burgstaller          125 Canal St. NE, Bolivar, OH 44612            (330) 716-3272 | xavier@slmportapotties.com                            Hauler
Cottrell Septic & Well Specialists, LLC      Ryan Cottrell          301 East Union Ave., West Lafayette, OH 43845     (740) 552-9474 | cottrellinspections@outlook.com                    Service Provider
Dick's Plumbing/Uhl's Septic Cleaning         Richard Uhl                4437 TR 305, Millersburg, OH 44654               (330) 674-1424 | trabeachy@hotmail.com                 Installer, Hauler & Service Provider
        DL Miller Excavating                  David Miller                 33946 SR 643, Baltic, OH 43804                 (330) 407-0940 | 1999dmiller@gmail.com                              Installer
     Eagle Eye Septic Solutions                Tom Bintz            8015 Wondiland Rd., Chandlersville, OH 43701                       (740) 454-7867                                          Hauler
         Elliott's Excavating                Edward Elliott              15298 CR 274, Coshocton, OH 43812                     (740) 829-2030 | (740) 575-2276                                Installer
         Emerson Portables                   Lee Emerson                 7215 Jones Rd., Nashport, OH 43830            (740) 819-4254 | emersonportables@gmail.com                             Hauler
      Five Star Excavating, LLC               Felty Raber                6999 CR 407, Millersburg, OH 44654                    (330) 473-5103 | (330) 473-8336                                Installer
      Forest Hill Septic Service             Tyler Jamison              614 S. 14th St., Coshocton, OH 43812             (740) 545-1212 | tyler@foresthillseptic.com                           Hauler
        Gibson Construction                 Michael Gibson                48668 TR 198, Fresno, OH 43824              (740) 202-0405 | gibson.construction@hotmail.com                        Installer
       Gilbert Excavating, LLC              William Gilbert           16432 TR 119, Newcomerstown, OH 43832              (740) 545-9248 | gilbertexcllc@outlook.com                           Installer
     J. Miller & Son Excavating              Leroy J. Miller             5924 SR 39, Millersburg, OH 44654                (330) 674-7238 | laura@jmillerandson.com                            Installer
         Jim's Septic Service                  Jim Hagan          1245 Dunlap Creek Rd., Newcomerstown, OH 43832         (740) 498-5246 | jimhagan1949@yahoo.com                               Hauler
         L Miller Excavating                   Levi Miller               1549 TR 106, Millersburg, OH 44654                 (330) 600-4594 | Fax #: (330) 789-6539                            Installer
       Loyalty Excavating, LLC                Loyal Miller          3414 Oak Ridge Rd. NW, Suagrcreek, OH 44681         (330) 401-3597 | loyaltyexcavating@gmail.com                          Installer
  M.A.M. Excavating & Septic, LLC          Mark A. McCombs            20061 CR 124, West Lafayette, OH 43845            (740) 502-7547 | m.a.m.mccombs@gmail.com                              Installer
       McDonnell Excavating                James McDonnell         7807 Church Rd. SW, Newcomerstown, OH 43832        (740) 498-5716 | mcdonnellexcavating@yahoo.com                          Installer
      Miller's Backhoe Service             Freeman L. Miller              2696 CR 70, Sugarcreek, OH 44681                  (330) 852-4789 | fmmiller@jbyfax.com                              Installer
          Miller Septic, LLC                  Seth Miller                   PO Box 328, Berlin, OH 44610                 (330) 893-2355 | askus@millerofholmes.com                   Hauler & Service Provider
