        2026 Geauga County Registered Septic Pumpers                                       Updated: 7/2/2026

               Service Provider                                  Address                   Phone Number
A & A PPORTA POTTY                        2979 E CENTER ST, CONNEAUT, OH 44030              (440) 855-2338

ALLEN DRAIN SERVICE                       1008 MOGADORE RD, KENT, OH 44240                  (330) 673-6482

ARIS COMPANY                              P.O. BOX 23097, CHAGRIN FALLS, OH 44023           (330) 562-8300

ASAP SANITARY SERVICES, LLC               521 YOUNGSTOWN WARREN RD, NILES, OH 44446         (330) 989-5100

AUBURN BAINBRIDGE EXCAV                   11313 E WASHINGTON ST, CHAGRIN FALLS, OH 44023    (440) 543-8371

BRUCE'S SEPTIC SERVICE                    12947 MAIN MARKET RD, GARRETTSVILLE, OH 44231     (440) 543-1235

CAMEL SERVICES LLC                        7737 MORLEY RD, MENTOR, OH 44060                  (440) 231-5318

CEE BEE WASTEWATER                        274 BOWHALL RD, PAINESVILLE, OH 44077             (440) 523-1927

CLN PORTABLE RESTROOM COMPANY             P.O. BOX 1026, BURTON, OH 44021                   (440) 821-0114

COLE 'S SEPTIC SERVICE                    P.O. BOX 771, CHARDON, OH 44024                   (440) 942-3464

COUNTY WASTE SERVICES LTD.                P.O. BOX 269, UNIONVILLE, OH 44088                (440) 428-9083

FRY SEPTIC INDUSTRIES INC.                1333 E 289TH ST, WICKLIFFE, OH 44092              (440) 352-2210

G KAUFMAN SEPTIC TANK CLEANING LLC        11051 TAYLOR MAY, CHAGRIN FALLS, OH 44023         (440) 543-4666

GEAUGA SEPTIC SERVICE, LLC                P.O. BOX 301, NEWBURY, OH 44065                   (440) 564-5356

JUDD SEPTIC SERVICES                      16500 PIONEER RD, MIDDLEFIELD, OH 44062           (440) 636-2986

KINGS SANITARY SERVICE                    P.O. BOX 240, BRISTOLVILLE, OH 44402              (330) 372-3201

KLARICH FARMS LLC                         P.O. BOX 53, BURTON, OH 44072                     (440) 285-2550

MC COY SEPTIC TANK SERVICE                11928 BROSIUS RD, GARRETTSVILLE, OH 44231         (330) 527-2005

MILLER PORTABLES                          2680 CR 168, DUNDEE, OH 44624                     (330) 893-2355

MUNN SEPTIC                               P.O. BOX 276, NEWBURY, OH 44065                   (440) 564-5711

NICHOLAS & SON INC.                       8877 JACKSON ST, MENTOR, OH 44060                 (440) 255-4610

NORTHEAST SEPTIC TANK, DBA T&D SERVICES   P.O. BOX 747, GENEVA, OH 44041                    (440) 466-4406

PORTA-BANDIT LLC                          11976 OLD STATE RD, CHARDON, OH 44024             (216) 820-6444

STEIGERWALD SEPTIC                        8678 MAYFIELD RD, CHESTERLAND, OH 44026           (440) 729-7867

SUPECK SEPTIC SERVICES LLC                6407 NORWALK RD, MEDINA, OH 44256                 (888) 725-0209

TIM FRANK SEPTIC TANK CLEANING            P.O. BOX 277, HUNTSBURG, OH 44046                 (440) 636-5111

TRADES RTR LLC, DBA MR. ROOTER            405 N BRICE RD, AKRON, OH 44312                   (614) 241-4411

UNITED RENTALS (NORTH AMERICA) INC.       1050 KILLIAN RD, AKRON, OH 44312                  (330) 733-9000

WALT KUCHARSKI SEPTIC SERVICE INC.        P.O. BOX 198, RICHFIELD, OH 44286                 (440) 232-0767

WOLCOTT SEPTIC TANK CLEANING INC          13781 GAR HIGHWAY, CHARDON, OH 44024              (440) 285-7604

                                                 Page 1 of 1

