         2026 Licensed Montana Septic Pumpers As of May 20, 2026


            County Business
LIC #                            Company
S-1185      Beaverhead           BADGER PASS SEPTIC LLC
S-596       Beaverhead           KLASEN SEPTIC PUMPING
S-998       Beaverhead           WELBORN AQUA HAUL & FIRE SERVICES, INC
S-1205      Big Horn             BCL ENTERPRISES LLC
S-1157      Big Horn             MONTANA SEPTIC
S-1083      Broadwater           KERPLUNK LLC
S-1147      Broadwater           PITSTOP LLC
S-1198      Carbon               BARETOOTH ESSENTIALS
S-1179      Carbon               CARBON SEWER & SEPTIC LLC
S-1195      Carbon               WYTANA SERVICES INC
S-986       Cascade              ROCKY MOUNTAIN PORTABLES
S-1200      Cascade              BROWN TROUT PORTABLES & SEPTIC LLC
S-787       Cascade              CARP'S DRAIN CLEANING, INC
S-1199      Cascade              CASCADE PORTABLES LLC
S-1055      Cascade              DB SEPTIC SOLUTIONS
S-1029      Cascade              GRIS ENTERPRISES
S-125       Cascade              M J PEET SEPTIC TANK CLEANING
S-896       Cascade              MONTANA WASTE SYSTEMS INC
S-1104      Cascade              SKILFUL FABRICATION & CONSTRUCTION LLC
S-1172      Cascade              TLC DRAIN CLEANING SEWER AND SEPTIC SERVICES
S-1177      Cascade              VBOS ROOTIN TOOTIN POOPERS
S-959       Custer               AFAB SEPTIC AND SEWER
S-1137      Custer               BEAR BUTTZ SEPTIC
S-1141      Custer               PROGRESSIVE CLEANING SERVICES INC
S-1202      Custer               QUALITY SEPTIC AND SEWER
S-1207      Dawson               MON-DAK CONSTRUCTION SUPPLY
S-1158      Deer Lodge           GREAT DIVIDE SEPTIC PUMPING
S-1038      Deer Lodge           RD'S SEPTIC PUMPING
         County Business
LIC #                      Company
S-1054   Fallon            B & B SEPTIC SERVICES, INC
S-1115   Fallon            G&G GARBAGE LLC
S-944    Fergus            ARROW SEPTIC SERVICE
S-701    Fergus            BAYSIDE DISPOSAL INC
S-1164   Fergus            DOOTY CALLS
S-824    Flathead          A-1 SANITATION INC
S-989    Flathead          IRC INC
S-1165   Flathead          MR HANKEY'S PORTA POTTIES, INC
S-1091   Flathead          PEDERSEN & COMPANY PUMPING INC
S-1125   Flathead          POP A SQUAT PORTABLES
S-876    Flathead          RAY BAIER SEPTIC SERVICE LLC
S-383    Flathead          READY FREDDY, INC.
S-1194   Flathead          SEPTIC BUSTERS LLC
S-1001   Flathead          SHUR CLEAN PORTABLE TOILETS, INC
S-1130   Gallatin          ALL COUNTRY SEPTIC TANK PUMPING
S-1189   Gallatin          CLEARBLU BUSINESS SERVICES
S-1020   Gallatin          GRAYLING ENTERPRISES INC
S-978    Gallatin          LITTLE STINKERS - ARBOR MEDIC, INC
S-980    Gallatin          ROBBINS SEPTIC - SEWER MASTER
